problem,status,solution_year,basis,reference
205,disproved,2026,review,ai-wiki 2026-01-10
206,disproved,2024,review,Ko24b
207,proved,2022,solving_citation,KSSS22b
209,disproved,1984,solving_citation,FuPa84
210,proved,1951,solving_citation,Mo51
211,proved,1983,solving_citation,Be83 SzTr83
214,proved,1979,solving_citation,Ju79
215,proved,2002,solving_citation,JaMa02
216,disproved,1983,review,Ho83
219,proved,2008,solving_citation,GrTa08
220,proved,1986,solving_citation,MoVa86
221,proved,1972,solving_citation,Ru72
223,solved,2009,solving_citation,Sw09
224,proved,1962,solving_citation,DaGr62
225,proved,1974,solving_citation,Kr74
226,proved,1970,solving_citation,BaSc70
227,disproved,1964,solving_citation,ClHa64
228,proved,2020,solving_citation,BBMST20
229,proved,1972,solving_citation,BaSc72
230,disproved,1980,review,Ka80
231,disproved,1992,review,Ke92
232,proved,2023,solving_citation,ACMVZ23
235,proved,1965,solving_citation,Ho65
237,proved,2022,solving_citation,ChDi22
239,proved,1967,review,Wi67
240,proved,1973,review,Ti73
245,proved,1973,solving_citation,Fr73
246,proved,1959,solving_citation,Bi59
248,proved,2025,review,TaTe25
250,proved,1996,solving_citation,Ne96
253,disproved,1960,solving_citation,Ca60
255,proved,1968,review,Sc68
258,proved,2026,review,2026-04-14
259,proved,1999,solving_citation,ChRu99
262,solved,1991,review,Ha91
266,disproved,2024,solving_citation,KoTa24
268,proved,2024,solving_citation,Ko24
270,disproved,2025,solving_citation,CrKo25
275,proved,1970,solving_citation,CrVE70
277,proved,1979,solving_citation,Ha79
280,disproved,,none,
281,proved,2026,ai_wiki,2026-01-17
283,proved,2026,ai_wiki,2026-05-03
284,proved,2001,solving_citation,Cr01
285,proved,2000,solving_citation,Ma00
286,proved,2001,solving_citation,Cr01
290,proved,2024,solving_citation,vD24
292,proved,2000,solving_citation,Ma00
294,proved,2024,solving_citation,LiSa24
296,proved,2021,review,Bl21
297,solved,2024,solving_citation,St24 LiSa24 CFHMPSV24
298,proved,2021,solving_citation,Bl21
299,disproved,2021,review,Bl21
300,solved,2024,review,LiSa24
303,proved,1991,solving_citation,BrRo91
305,proved,1988,review,Yo88
308,proved,1999,solving_citation,Cr99
309,disproved,,none,
310,proved,2024,review,LiSa24
314,proved,2024,solving_citation,LiSt24
315,proved,2025,solving_citation,Ka25 LiTa25
316,disproved,1997,review,Sa97
318,solved,1982,solving_citation,Sa82b
320,solved,,none,
321,solved,,none,
328,disproved,1985,solving_citation,NeRo85
330,proved,2026,ai_wiki,2026-04-24
331,disproved,,none,
333,disproved,1977,solving_citation,ErNe77
337,disproved,1984,solving_citation,Tu84
339,proved,2003,solving_citation,HHP03
343,proved,2006,review,SzVu06
344,proved,2006,solving_citation,SzVu06
347,proved,2025,ai_wiki,2025-10-25
350,proved,1974,review,BeEr74
351,proved,,none,
353,proved,2025,review,Ko25
355,proved,2025,solving_citation,DoKo25
356,proved,2023,review,Be23b
358,proved,,none,
360,solved,2021,review,CFP21
362,proved,1977,solving_citation,Ha77
363,disproved,2005,solving_citation,Ul05
369,proved,1998,solving_citation,BaWo98
370,proved,,none,
372,proved,2001,solving_citation,Ba01
378,proved,1996,solving_citation,GrRa96
379,proved,2025,review,2025-12-21
380,proved,2026,ai_wiki,2026-03-31
381,disproved,1971,solving_citation,Ni71
384,proved,1969,solving_citation,Ec69
387,solved,2026,review,BNPZ26
391,proved,2025,solving_citation,ACRSTUV25
392,proved,,none,
395,proved,2024,review,HJNS24
397,disproved,2026,ai_wiki,2026-01-10
399,disproved,,none,
401,proved,2026,ai_wiki,2026-01-11
402,proved,1996,review,BaSo96
403,proved,1960,solving_citation,Li76
405,proved,1991,review,BrEr91
407,proved,1988,solving_citation,EGST88
418,proved,1995,review,BrSc95
419,solved,1996,solving_citation,EGIP96
426,disproved,2024,solving_citation,BrCh24
427,proved,2000,review,Sh00
429,disproved,2024,solving_citation,We24
433,proved,1990,solving_citation,Di90
434,proved,2002,solving_citation,Ki02
435,proved,2024,solving_citation,HwSo24
437,proved,2024,review,BPZ24
438,solved,2002,review,KLS02
439,proved,2006,solving_citation,KhSz06
440,solved,1980,solving_citation,ErSz80
441,disproved,2007,review,ChDa07
442,disproved,2024,solving_citation,Ta24b
443,proved,2025,solving_citation,He25
444,proved,1980,solving_citation,ErSa80
446,solved,2008,solving_citation,Fo08
447,proved,1971,review,Kl71
448,disproved,1981,solving_citation,ErTe81
449,disproved,1988,review,HaTe88
453,disproved,1979,solving_citation,Po79
457,proved,2026,ai_wiki,2026-03-02
459,solved,,none,
464,proved,1979,review,Po79b
465,proved,1976,review,Sa76
466,proved,,none,
469,proved,,none,
471,proved,,none,
473,proved,,none,
476,proved,1994,solving_citation,dSHa94
480,proved,1984,solving_citation,ChGr84
481,proved,1982,review,Kl82
482,solved,2006,review,St06
484,proved,1989,solving_citation,ESS89
485,proved,1987,solving_citation,Sc87
487,proved,1971,solving_citation,Kl71
490,proved,1976,solving_citation,Sz76
491,proved,1970,solving_citation,Wi70
492,disproved,1969,review,Sc69
493,proved,,none,
494,proved,1962,review,GFS62
496,proved,1989,solving_citation,Ma89
497,solved,1969,solving_citation,Kl69
498,proved,1965,review,Kl65
499,proved,1962,solving_citation,MaMi62
502,solved,1983,review,BBS83
504,solved,1993,review,Se93
505,disproved,1993,review,KaKa93
511,disproved,1961,solving_citation,Po61
512,proved,1981,solving_citation,Ko81 MPS81
515,proved,1984,review,LRW84
516,proved,1963,solving_citation,Fu63
518,proved,2024,solving_citation,PVW24
519,proved,1961,solving_citation,At61b
523,proved,1973,solving_citation,Ha73
525,proved,1987,review,Ka87
526,solved,1972,solving_citation,Sh72
527,proved,2025,solving_citation,MiSa25
532,proved,1974,solving_citation,Hi74
533,disproved,2013,solving_citation,BaLe13
534,solved,1996,solving_citation,AhKh96
537,disproved,,none,
540,proved,1970,solving_citation,Sz70
541,proved,2010,solving_citation,GHW10
542,solved,1959,solving_citation,ScSz59
543,disproved,2026,ai_wiki,2026-01-21
546,proved,2011,solving_citation,Su11
549,disproved,2016,solving_citation,NSZ16
553,proved,2005,solving_citation,AlRo05
559,disproved,2000,solving_citation,RoSz00
565,proved,2025,review,ACDFM25
570,proved,2026,review,CFMPP26
574,disproved,1994,solving_citation,LUW94b
577,proved,2010,solving_citation,Wa10
578,proved,2000,solving_citation,Ri00
581,solved,1996,solving_citation,Al96
582,proved,1988,review,Sp88
586,disproved,2022,solving_citation,BBMST22
587,solved,2010,solving_citation,NgVu10
590,proved,1972,solving_citation,Ch72
591,proved,2010,solving_citation,Sc10
594,proved,1974,solving_citation,EHS74
599,proved,2009,solving_citation,AhBe09
603,solved,2026,ai_wiki,2026-04-21
605,proved,1989,solving_citation,EHP89
606,solved,1988,solving_citation,ErSa88
607,proved,1983,solving_citation,SzTr83
608,disproved,2019,solving_citation,GHV19 GHV19
610,proved,2021,review,JMRS21
613,disproved,2001,review,Pi01
615,disproved,2015,solving_citation,FLZ15
618,proved,,none,
619,solved,2026,ai_wiki,2026-06-09
621,proved,2016,solving_citation,NoSu16
622,proved,2025,solving_citation,DKM25
630,proved,1992,solving_citation,AlTa92
631,proved,1994,solving_citation,Th94
632,disproved,2019,solving_citation,DHS19
633,solved,2026,review,BLZ26
636,proved,2021,solving_citation,KwSu21
637,proved,2007,solving_citation,BuSu07
639,proved,2004,solving_citation,KeSu04
641,disproved,2024,solving_citation,JSS24
645,proved,1999,solving_citation,BrLa99
646,proved,1997,solving_citation,Be97
648,solved,2025,review,Ca25b
649,disproved,,none,
650,solved,2026,ai_wiki,2026-03-07
651,disproved,2022,solving_citation,PoZa22
652,proved,2021,review,Ma21
656,proved,2024,solving_citation,KMRR24
658,proved,1991,solving_citation,FuKa91
659,proved,2026,ai_wiki,2026-01-13
664,disproved,,none,
666,disproved,1993,solving_citation,BDT93
673,proved,1982,review,Er82e
674,proved,1940,review,Ko40
678,proved,2024,solving_citation,Ca24
682,proved,2025,solving_citation,GaTa25
690,solved,2025,review,Ca25
692,disproved,2025,review,Ca25
694,solved,2026,ai_wiki,2026-05-01
696,solved,2026,ai_wiki,2026-06-05
697,proved,1992,solving_citation,Ha92
698,proved,2011,solving_citation,Be11
702,proved,1977,review,Fr77
703,proved,1987,review,FrRo87
705,disproved,1999,solving_citation,OD99
707,disproved,1947,solving_citation,Ha47
715,proved,1982,solving_citation,Ta82
716,proved,1978,solving_citation,RuSz78
717,proved,2013,review,FLS13
718,proved,1996,solving_citation,KoSz96 BoTh96
720,proved,1983,solving_citation,Be83b
721,solved,2022,review,Gr22 Sc21
722,proved,2014,solving_citation,Ke14
728,proved,2026,ai_wiki,2026-01-06
729,proved,2026,ai_wiki,2026-01-10
732,proved,,none,
733,proved,1983,solving_citation,SzTr83
735,solved,2008,solving_citation,ABKPR08
737,proved,1983,solving_citation,Th83
741,solved,2026,ai_wiki,2026-04-16
744,disproved,1985,review,RoTu85
745,proved,1980,solving_citation,KSS80
746,proved,1977,review,Ko77
747,solved,2023,review,Ka23
748,proved,2004,solving_citation,Gr04
750,proved,2026,ai_wiki,2026-05-03
751,disproved,1998,solving_citation,BoVi98
752,proved,2008,solving_citation,SuVe08
753,disproved,1992,solving_citation,Al92
754,proved,2013,solving_citation,Sw13
755,proved,2025,solving_citation,CDL25b
756,proved,2024,solving_citation,Bh24
758,solved,,none,
759,solved,1997,solving_citation,GiTh97
760,proved,1997,solving_citation,AKS97
762,disproved,2024,solving_citation,St24b
763,disproved,1956,solving_citation,ErFu56
764,disproved,1972,solving_citation,Va72
765,solved,2023,review,MaYa23
767,proved,2004,solving_citation,Ji04
771,proved,1988,solving_citation,AlFr88
772,proved,1985,solving_citation,AlEr85
775,disproved,2025,solving_citation,Ga25
777,solved,2015,review,ADGS15
780,proved,1986,solving_citation,AFL86
781,disproved,1989,review,AlSp89
783,solved,,none,
784,solved,1982,review,Ru82
785,proved,1994,review,SaSz94
793,proved,,none,
794,disproved,1984,review,FrFu84
795,proved,2025,solving_citation,Ra25
797,proved,1991,solving_citation,AMR91
798,proved,1991,solving_citation,Al91
799,proved,1992,solving_citation,Al92
800,proved,1994,solving_citation,Al94
801,proved,1996,solving_citation,Al96b
803,disproved,2008,review,Al08
804,disproved,2007,review,AlSu07
806,proved,2009,solving_citation,ABS09
807,disproved,2015,solving_citation,Al15
808,disproved,2020,solving_citation,ARS20
814,proved,2019,review,Sa19
815,disproved,2017,solving_citation,NPS17
816,proved,2025,solving_citation,ChMa25
818,proved,2009,solving_citation,So09d
822,proved,2024,solving_citation,GIL24
823,proved,2015,solving_citation,Po15b
825,proved,,none,
832,disproved,1985,solving_citation,Al85
833,proved,1975,solving_citation,ErLo75
834,solved,2025,solving_citation,Li25
841,solved,2024,review,BPZ24
842,proved,1992,solving_citation,FlSt92
843,proved,1995,review,Er95
844,proved,2025,review,AMS25
845,disproved,2025,review,vDEv25
846,disproved,2026,solving_citation,PSV26
847,disproved,2024,review,RRS24
851,proved,2026,ai_wiki,2026-02-05
858,solved,2026,ai_wiki,2026-04-15
861,solved,2015,review,SaTh15 KLRS15
862,solved,2015,solving_citation,SaTh15
863,proved,2026,ai_wiki,2026-04-22
865,proved,2026,solving_citation,Ci26
867,disproved,1993,review,Fr93
868,solved,,none,
869,disproved,,none,
871,disproved,2026,review,2026-01-05
874,proved,1999,review,DeFr99
877,proved,2001,review,LuSc01
880,proved,2007,solving_citation,HHP07
882,solved,1998,review,Er98
884,disproved,,none,
888,solved,2026,ai_wiki,2026-04-25
894,proved,,none,
895,proved,,none,
896,solved,,none,
897,disproved,1981,review,Wi81
898,proved,,none,
899,proved,1978,solving_citation,Ru78
900,proved,1981,solving_citation,AKS81
903,proved,1985,solving_citation,EFSW85
904,proved,2005,solving_citation,BoNi05
905,proved,1979,solving_citation,KhNi79
907,proved,1951,solving_citation,dB51
908,proved,1980,solving_citation,La80
909,proved,1967,solving_citation,AnKe67
910,disproved,1958,review,Ru58
914,proved,1970,review,HaSz70
915,solved,1973,review,Ma73
916,proved,1974,solving_citation,Th74
920,solved,2026,review,Br26
921,proved,1984,solving_citation,KST84
922,proved,1970,solving_citation,Fo70b
923,proved,1977,solving_citation,Ro77
924,proved,1976,solving_citation,NeRo76
925,disproved,2005,solving_citation,AlRo05 AlRo05
926,proved,1991,review,Fu91
927,disproved,1971,solving_citation,Sp71
937,proved,2024,review,BBC24
941,proved,1988,solving_citation,He88
946,proved,1984,review,He84
947,proved,,none,
948,solved,2026,ai_wiki,2026-06-21
957,proved,2019,solving_citation,Du19
958,disproved,2025,solving_citation,CDL25
960,disproved,2026,ai_wiki,2026-04-09
964,proved,2025,review,Eb25
965,disproved,2016,review,Ko16
966,proved,1975,review,Er75b
967,disproved,2025,review,Yi25
974,proved,1966,solving_citation,Ti66
977,proved,2013,solving_citation,St13
980,proved,1967,review,El67b
981,proved,1969,solving_citation,El69
984,proved,,none,
986,proved,2026,solving_citation,Br26
987,proved,2026,ai_wiki,2026-04-09
988,solved,1969,review,Sc69b
989,solved,1987,solving_citation,Be87
990,disproved,2026,review,APSSV26b
991,proved,,none,
992,disproved,1994,solving_citation,BePh94
994,disproved,1970,solving_citation,Ma70
997,proved,2024,review,CLLW24
998,proved,1966,review,Ke66
999,proved,2020,solving_citation,KoMa20
1000,proved,,none,
1001,solved,1966,review,KeSo66
1006,disproved,1978,solving_citation,NeRo78b
1007,solved,2013,solving_citation,Ho13
1008,proved,2014,solving_citation,CFS14b
1009,proved,1988,solving_citation,Gy88
1010,proved,1976,review,LoSi76
1012,solved,1972,review,Wo72
1014,proved,2026,ai_wiki,2026-04-23
1015,solved,1975,review,BES75
1018,solved,1988,solving_citation,KoPy88
1019,proved,,none,
1021,proved,2021,solving_citation,CoLe21
1022,proved,2013,review,Wo13b
1023,solved,,none,
1024,solved,1986,review,PhRo86
1025,solved,2016,review,CFS16
1026,solved,2016,review,TWY16
1027,proved,,none,
1028,solved,1971,review,ErSp71
1031,proved,1999,solving_citation,PrRo99
1034,disproved,,none,
1036,proved,1998,solving_citation,Sh98
1037,disproved,,none,
1042,proved,2024,solving_citation,GhRa24
1043,disproved,1961,solving_citation,Po61
1044,solved,,none,
1046,disproved,1959,solving_citation,Po59
1047,disproved,1961,solving_citation,Po61
1048,disproved,1961,solving_citation,Po61
1050,proved,1991,solving_citation,Bo91
1051,proved,2026,review,Fe26
1058,proved,2001,review,Lu01
1064,proved,2002,review,LuPo02
1067,disproved,2015,review,So15
1069,solved,1983,solving_citation,SzTr83
1071,proved,,none,
1076,proved,2020,solving_citation,GKLO20
1077,disproved,2025,review,JiLo25
1078,proved,2001,solving_citation,Ha01
1079,solved,1981,solving_citation,BoTh81
1080,disproved,1992,solving_citation,DeSz92
1081,disproved,1981,solving_citation,Od81
1089,solved,2026,ai_wiki,2026-02-01
1090,proved,2026,review,2026-02-27
1091,solved,2026,review,APSSV26b
1092,disproved,1982,review,Ro82
1096,proved,1998,review,ErKo98
1098,proved,1976,solving_citation,Ne76
1099,proved,1984,review,Vo84
1102,solved,2025,solving_citation,vDTa25
1105,proved,2021,review,Yu21
1114,proved,1960,solving_citation,Ba60b
1115,solved,1979,solving_citation,GoEr79
1116,solved,1976,review,To76
1118,solved,1979,solving_citation,Go79b
1121,proved,1945,solving_citation,GoGo45
1124,proved,1990,solving_citation,La90b
1125,proved,1984,review,La84
1126,proved,1965,review,Ju65
1128,disproved,1978,review,prose: Prikry-Mills 1978
1129,proved,1978,review,Ki77  dBPi78
1130,proved,1978,solving_citation,dBPi78
1134,disproved,1982,review,Kl82
1136,proved,2011,review,Mu11
1138,disproved,2026,ai_wiki,2026-04-25
1140,disproved,2010,review,EpGi10
1141,disproved,2026,ai_wiki,2026-04-09
1147,disproved,2016,solving_citation,Ko16b
1148,proved,,none,
1149,proved,2017,solving_citation,BeRi17
1153,proved,2026,ai_wiki,2026-03-24
1161,solved,2025,review,Be25d
1164,proved,1990,solving_citation,Re90
1165,solved,2024,review,HLOZ24
1166,proved,2001,review,ErTa60  To01 (via [1165])
1179,proved,1976,review,ErHa76
1180,proved,2002,solving_citation,Sh02
1185,solved,1981,review,Fu81
1187,solved,2008,solving_citation,GrTa08
1190,solved,2026,ai_wiki,2026-04-23
1193,solved,,none,
1195,solved,2026,ai_wiki,2026-04-19
1196,proved,2026,review,ABLLPSTT26 / ai-wiki 2026-04-13
1197,disproved,2026,ai_wiki,2026-06-21
1198,disproved,1995,review,Sm95
1202,solved,2026,ai_wiki,2026-04-01
1205,solved,,none,
1211,solved,2022,solving_citation,CFP22
1213,proved,1986,solving_citation,He86
1214,proved,1997,review,CoSc97
1215,disproved,1953,review,Ma53
1216,disproved,1970,review,RePa70
1217,proved,2026,ai_wiki,2026-04-16
