problem,quantity,direction,step,year,value,agent,attribution,ref,date_certain,relative_gain_pct,is_record,note
6.30,"C_6.30_{0,1,inf}",up,0,2015,1.77898,human_analytic,Lemm,arXiv:2511.02864 bibliography ref 194,yes,,yes,"paper: '1.77898 <= C_6.30({0,1,inf};-1) <= 11/6'"
6.30,"C_6.30_{0,1,inf}",up,1,2025,1.77898001,ai_evolution,AlphaEvolve,arXiv:2511.02864 bibliography ref 224,yes,1e-06,yes,"paper: 'AlphaEvolve managed to improve the first bound only in the eighth decimal'. The value here is a placeholder encoding an eighth-decimal gain; the paper gives no digits, so treat the magnitude as an upper bound on the step."
6.35,"C_6.35(11,cube)",down,0,2025,2.912096,community_table,"Erich Friedman, Cubes in Cubes records page",arXiv:2511.02864 bibliography ref 134,no,,yes,"paper: 'from 2 + 8/5 + 3/5 ~ 2.912096'. The cited records page carries literal [YEAR] and [DATE] placeholders in the paper's bibliography, so this step is undated and its interval is unusable."
6.35,"C_6.35(11,cube)",down,1,2025,2.894531,ai_evolution,AlphaEvolve,arXiv:2511.02864 bibliography ref 224,yes,0.606834,yes,paper: 'to 2.894531'. The authors add it 'can likely still be improved slightly by manual analysis'.
6.42,C_6.42,up,0,1996,1.059793,human_analytic,"Ruzsa, explicit construction",arXiv:2511.02864 bibliography ref 244,yes,,yes,"paper: '= 1.059793... <= C_6.42 <= 2; the upper bound can be found in [244, Theorem 4.1], and the lower bound comes from the explicit construction'"
6.42,C_6.42,up,1,2025,1.1219,ai_evolution,"AlphaEvolve, no human hints",arXiv:2511.02864 bibliography ref 224,yes,5.860295,yes,"paper: 'When tasked with improving this bound and not given any human hints, AlphaEvolve improved the lower bound to 1.1219'. Authors add the construction 'can likely be improved further'."
6.44,C_6.44,up,0,2007,1.07921778,human_analytic,"Gyarmati, Hennecart and Ruzsa, U={0,1,3}",arXiv:2511.02864 bibliography ref 158,yes,,yes,"paper: 'setting U = {0,1,3} gives C_6.44 >= 1 + log(7/6)/log(7) ~ 1.07921778'"
6.44,C_6.44,up,1,2007,1.1078,human_search,"same paper, brute force computer search",arXiv:2511.02864 bibliography ref 158,yes,2.64842,yes,"paper: 'With a brute force computer search, in [158] the set U = {0,1,3,6,13,17,21} was found, which gave ... ~ 1.1078'"
6.44,C_6.44,up,2,2007,1.1165,human_search,"same paper, more intricate construction",arXiv:2511.02864 bibliography ref 158,yes,0.78534,yes,paper: 'A more intricate construction gave a set U with |U| = 24310 ... improving the lower bound to 1.1165'
6.44,C_6.44,up,3,2007,1.14465,human_search,"same paper, further ad hoc constructions",arXiv:2511.02864 bibliography ref 158,yes,2.521272,yes,paper: 'the final bound they obtained was found by some further ad hoc constructions'; the stated prior-to-this-work bound is 1.14465
6.44,C_6.44,up,4,2025,1.1479,ai_evolution,"AlphaEvolve, set U1 of 2003 integers",arXiv:2511.02864 bibliography ref 224,yes,0.28393,yes,paper: 'It first found a set U1 of 2003 integers that improves the lower bound to 1.1479 <= C_6.44'
6.44,C_6.44,up,5,2025,1.1584,ai_evolution,"AlphaEvolve, set U2 of 54265 integers, longer run",arXiv:2511.02864 bibliography ref 224,yes,0.914714,yes,"paper: 'By letting the experiment run longer, it later found a related set U2 of 54265 integers that further improves the lower bound to 1.1584'"
6.44,C_6.44,up,6,2025,1.17305,human_analytic,Gerbicz,arXiv:2511.02864 bibliography ref 138,yes,1.264675,yes,"paper: 'After the release of the AlphaEvolve technical report [224], the bounds were subsequently improved to C_6.44 >= 1.173050 [138]'. The cited work is titled 'Sums and differences of sets (improvement over AlphaEvolve)'."
6.44,C_6.44,up,7,2025,1.173077,human_analytic,further improvement,arXiv:2511.02864 bibliography ref 306,yes,0.002302,yes,"paper: 'and C_6.44 >= 1.173077 [306], by using mathematical methods closer to the original constructions of [158]'. Reference [306] did not parse from the bibliography, so its authorship and year are unconfirmed here."
6.2,C_6.2_upper,down,0,2002,1.5708,human_analytic,Schinzel and Schmidt,Acta Arith. 104 (2002) 283-296,no,,yes,pi/2 via f0(x)=1/sqrt(2x+1/2); Matolcsi-Vinuesa: 'the last remark of [4] seems to be the first instance where pi/2 is suggested as the extremal value' - the example may predate 2002. https://arxiv.org/abs/0907.1379
6.2,C_6.2_upper,down,1,2010,1.5098,human_search,"Matolcsi and Vinuesa, computer search",arXiv:0907.1379; JMAA 372 (2010),yes,4.04027,yes,"'In short, we will prove 1.2748 <= S <= 1.5098' ('The counterexamples are produced by a computer search'); arXiv v1 July 2009. The 2511.02864 paper prints this prior bound as 1.50992, which matches no source found; the 2506.13131 paper prints 1.5098."
6.2,C_6.2_upper,down,2,2025,1.5053,ai_evolution,"AlphaEvolve, 600-interval step function",arXiv:2506.13131,yes,0.298944,yes,"paper: 'AlphaEvolve found a step function with 600 equally-spaced intervals on [-1/4,1/4] that gives a slightly better upper bound C_1 <= 1.5053'"
6.2,C_6.2_upper,down,3,2025,1.5032,ai_evolution,"AlphaEvolve, cubic-backtracking heuristics",arXiv:2511.02864,yes,0.139702,yes,paper: 'it found heuristic search methods using cubic backtracking that produced constructions reducing the upper bound to C <= 1.5032'
6.5,C_6.5_upper,down,0,1955,0.5,human_analytic,"Erdos, bound at posing",Riveon Lematematika 9 (1955) 45-48,yes,,yes,"White (arXiv:2201.05704): 'we can take A to be [n/2, 3n/2] giving the upper bound M(n) <= n/2'"
6.5,C_6.5_upper,down,1,1956,0.4,human_analytic,"Motzkin, Ralston and Selfridge","via R. K. Guy, UPINT section C17",no,25.0,yes,secondary sources only (Guy; the Wikipedia table); no primary read here
6.5,C_6.5_upper,down,2,1996,0.382002,human_search,"Haugland, 21-step step function",J. Number Theory 58 (1996) 71-78,yes,4.711494,yes,"'A step function with 21 steps for which (1) attains the value 0.382002...' (Haugland, arXiv:1609.08000)"
6.5,C_6.5_upper,down,3,2016,0.380926853433087,human_search,Haugland,arXiv:1609.08000,yes,0.282245,yes,'yields the value 0.3809268534330870 for (1)'; abstract: 'improves the upper bound from 0.382002... to 0.380926...' (v1 2016-09-23)
6.5,C_6.5_upper,down,4,2025,0.380924,ai_evolution,AlphaEvolve,arXiv:2506.13131,yes,0.000749,yes,"'The step function depicted ... does ever so slightly better than the previous bound, giving the upper bound of C_5 <= 0.380924'"
6.7,C_6.7,down,0,1949,2.6667,human_analytic,Redei and Renyi,Mat. Sbornik N.S. 24/66 (1949) 385-389,yes,,yes,"'Redei and Renyi [RR49] showed that 2.4244... <= d* <= 8/3 = 2.6666...' (Bernshteyn-Tait, arXiv:1901.09411)"
6.7,C_6.7,down,1,1956,2.6646,human_analytic,Leech,J. London Math. Soc. 31 (1956) 160-169,yes,0.078811,yes,'Leech [Lee56] found a way to improve the Redei-Renyi construction to derive the upper bound d* <= 2.6646...' (Bernshteyn-Tait); the primary is paywalled and the value was not independently checked
6.7,C_6.7,down,2,1972,2.6571,human_analytic,Golay,J. London Math. Soc. (2) 4 (1972) 729-734,yes,0.282263,yes,"Banakh-Gavrylkiv: 'inf d[n]^2 <= d[6166]^2 <= 128^2/6166 = 2.6571...' (arXiv:1702.02631); Bernshteyn-Tait instead state Golay proved 2.6458 - unresolved here without the paywalled primary; two of three secondary sources support 2.6571, which is also the paper's stated prior record"
6.7,C_6.7,down,3,2025,2.639,ai_evolution,"AlphaEvolve, after being given Singer difference-set code",arXiv:2511.02864,yes,0.685866,yes,'AlphaEvolve managed to find a substantial improvement in the upper bound from 2.6571 to 2.6390' - only after being shown code for Singer difference sets; unaided it 'was not able to beat the 2.6571 upper bound'
6.8,K(11),up,0,1971,566,human_analytic,"Leech and Sloane, packing P11a",Canad. J. Math. 23 (1971) 718-745,yes,,yes,'find the maximum contact number to be 566 in the most favourable cases'
6.8,K(11),up,1,1977,582,human_analytic,Best's constant-weight code; packing P11c per Conway-Sloane,"Best, Math. Centrum ZN 71/77 (1977); SPLAG pp. 139-140",no,2.826855,yes,"582 = 2*11 + 16*35 from Best's A[11,4,4]=35 code (Cohn-Jiao-Kumar-Torquato, arXiv:1102.5060); when 582 was first stated as the record is not pinned"
6.8,K(11),up,2,2022,592,human_search,"Ganzhinov, symmetric constructions",arXiv:2207.08266 (v1 2022-07-17); Linear Algebra Appl. 722 (2025),yes,1.718213,yes,"'3 new kissing configurations which improve lower bounds on the kissing number in d = 10, 11, 14 to 510, 592 and 1932 respectively'"
6.8,K(11),up,3,2025,593,ai_evolution,AlphaEvolve,arXiv:2506.13131,yes,0.168919,yes,"'For d=11, the best known lower bound was 592 and AlphaEvolve improved this to 593'"
6.8,K(11),up,4,2026,604,ai_agents,"EinsteinArena collective agent platform (594, then 604)",arXiv:2606.10402; Cohn's kissing table as of 2026-06-22,no,1.854975,yes,"Henry Cohn's table (updated 2026-06-22) lists 604, citing Bianchi, Kwon, Pappu and Zou, 'Harnessing the collective intelligence of AI agents in the wild for new discoveries'; the within-2026 dates of 594 and 604 are not pinned"
6.32,"C_6.32(2,19)_points",down,0,1996,204,human_search,"Hardin and Sloane library, des.3.204.19",neilsloane.com/sphdesigns,no,,yes,'des.3.204.19 contains a 3-dimensional 204-point spherical 19-design'; construction family from Hardin-Sloane DCG 15 (1996); the library page is dated only 1996-2002
6.32,"C_6.32(2,19)_points",down,1,2016,192,human_search,"Womersley, symmetric spherical designs - not cited by the paper",Womersley dataset 2016-03-31; DOI 10.1007/978-3-319-72456-0_57,yes,6.25,yes,"table row '19 192 ss019.00192' (page updated 2016-09-27); numerical design with Weyl-sum residuals ~1e-25, the same epistemic type as AlphaEvolve's"
6.32,"C_6.32(2,19)_points",down,2,2025,198,ai_evolution,"AlphaEvolve, error accepted below 1e-8",arXiv:2511.02864,yes,-3.030303,no,"'constructions for C6.32(2,19) ... of sizes 198, 200, 202, 204 ... improved on the literature bounds [264]' - better than the cited Sloane 204, WORSE than Womersley's 2016 record of 192, so not a record step"
6.32,"C_6.32(2,21)_points",down,0,1996,240,human_search,"Hardin and Sloane library, des.3.240.21",neilsloane.com/sphdesigns,no,,yes,'des.3.240.21 contains a 3-dimensional 240-point spherical 21-design'; same 1996-2002 dating caveat
6.32,"C_6.32(2,21)_points",down,1,2016,234,human_search,Womersley - not cited by the paper,Womersley dataset 2016-03-31; DOI 10.1007/978-3-319-72456-0_57,yes,2.564103,yes,table row '21 234 ss021.00234'
6.32,"C_6.32(2,21)_points",down,2,2025,234,ai_evolution,AlphaEvolve - ties the uncited 2016 record,arXiv:2511.02864,yes,0.0,no,"'and 234, 236 for the latter. Those constructions improved on the literature bounds [264]' - improves the cited Sloane 240, ties Womersley"
6.48,"C_6.48(11,tri)",up,0,2006,0.036,human_search,David Cantrell,"Friedman packing pages, heiltri",yes,,yes,"'11. A = .0360+ Found by David Cantrell, July 2006.' (Wayback 2025-02-19); the page's '+' convention truncates, slightly understating prior records"
6.48,"C_6.48(11,tri)",up,1,2025,0.03652,ai_evolution,AlphaEvolve,arXiv:2506.13131; arXiv:2511.02864,yes,1.444444,yes,'we found an improvement for n = 11 over the number reported in [130]'; Friedman's page now: 'A = .03652+ Found by AlphaEvolve in June 2025.'
6.49,C_6.49(13),up,0,2007,0.0306,human_search,David Cantrell,"Friedman packing pages, heilconvex",yes,,yes,'13. A = .0306+ Found by David Cantrell in June 2007.' (Wayback 2025-01-09)
6.49,C_6.49(13),up,1,2025,0.0309,ai_evolution,AlphaEvolve,arXiv:2506.13131; arXiv:2511.02864,yes,0.980392,yes,"'improve on Cantrell's constructions for n = 13 and n = 14'; Friedman's current page shows the new value .03093+ but still credits Cantrell 2007, so page and paper disagree about who holds n=13"
6.49,C_6.49(14),up,0,2007,0.0277,human_search,David Cantrell,"Friedman packing pages, heilconvex",yes,,yes,'14. A = .0277+ Found by David Cantrell in June 2007.'
6.49,C_6.49(14),up,1,2025,0.02783,ai_evolution,AlphaEvolve,arXiv:2506.13131; arXiv:2511.02864,yes,0.469314,yes,Friedman's page now: '14. A = .02783+ Found by AlphaEvolve in June 2025.'
6.50,"r2_6.50(2,16)",down,0,2009,12.89,human_search,David Cantrell,"Friedman packing pages, maxmin",yes,,yes,'16. r 2 = 12.890+ Found by David Cantrell in February 2009.'; truncated by the '+' convention
6.50,"r2_6.50(2,16)",down,1,2025,12.889266112,ai_evolution,"AlphaEvolve, search mode",arXiv:2506.13131; arXiv:2511.02864,yes,0.005694,yes,"'improved on C6.50(2,16) ~ sqrt(12.889266112)'"
6.50,"r2_6.50(2,16)",down,2,2025,12.889246743,human_search,"Berthold and co-authors, FICO Xpress global solver, no custom algorithm",FICO blog 2025-06-13; arXiv:2601.05943,yes,0.00015,yes,"FICO reports Xpress sqrt(12.889246743) vs AlphaEvolve sqrt(12.889266112), verified with DeepMind's verification tool - an off-the-shelf solver beat the AI record within a month"
6.50,"r2_6.50(3,14)",down,0,2009,4.168,human_search,David Cantrell,"Friedman packing pages, maxmin3",yes,,yes,'14. r 2 = 4.168+ Found by David Cantrell in March 2009.' (Wayback 2025-01-08)
6.50,"r2_6.50(3,14)",down,1,2025,4.165849767,ai_evolution,"AlphaEvolve, search mode",arXiv:2506.13131; arXiv:2511.02864,yes,0.051616,yes,"'improved on ... C6.50(3,14) ~ sqrt(4.165849767), in a small experiment lasting only a few hours'"
6.50,"r2_6.50(3,14)",down,2,2025,4.165783989,human_search,"Berthold and co-authors, FICO Xpress global solver",FICO blog 2025-06-13; arXiv:2601.05943,yes,0.001579,yes,acknowledged by the paper: 'The latter was later improved further in [25]'
6.50,"r2_6.50(3,14)",down,3,2026,,human_search,M. Sun and E. Samanta,"Friedman packing pages, maxmin3",yes,,yes,"page now: '14. r 2 = 4.165+ Found by M. Sun and E. Samanta in June 2026.' The displayed value is truncated; the exact figure could not be established, so the value is left blank"
6.59,C_6.59(64),up,0,2024,108,human_search,"Charton, Ellenberg, Wagner and Williamson, classical search",arXiv:2411.00566,yes,,yes,'The result of this search was a solution with 108 points in [64]^2 without an isosceles triangle'
6.59,C_6.59(64),up,1,2024,110,ai_guided_search,"PatternBoost, transformer-guided search",arXiv:2411.00566,yes,1.851852,yes,'led to the discovery of a construction with 110 points within a few days ... dozens more constructions with 110 points but never anything better'
6.59,C_6.59(64),up,2,2025,112,ai_evolution,"AlphaEvolve, given symmetry advice from the PatternBoost constructions",arXiv:2511.02864,yes,1.818182,yes,'after a few days AlphaEvolve found the elusive configuration of 112 points in the 64x64 grid!'
6.59,C_6.59(100),up,0,2024,154,human_search,"same authors, classical search",arXiv:2411.00566,yes,,yes,'The best score our standard search techniques found was 154'
6.59,C_6.59(100),up,1,2024,160,ai_guided_search,PatternBoost,arXiv:2411.00566,yes,3.896104,yes,'adding the transformer loop on top of this raised it to 160'
6.59,C_6.59(100),up,2,2025,164,ai_evolution,AlphaEvolve,arXiv:2511.02864,yes,2.5,yes,"'it improved the previous best construction of 160 points to 164, but we believe this is still not optimal'"
6.60,C_6.60(7),up,0,2024,20,ai_guided_search,PatternBoost,arXiv:2411.00566,yes,,yes,AlphaEvolve paper: 'an AI-assisted computer search [charton2024patternboost] gave the lower bounds ... C(7) >= 20'
6.60,C_6.60(7),up,1,2025,21,ai_evolution,"AlphaEvolve, CPU evaluators only",arXiv:2511.02864,yes,5.0,yes,"'we were able to obtain the better lower bounds C(7) >= 21, C(8) >= 23, C(9) >= 26, and C(10) >= 28'"
6.60,C_6.60(8),up,0,2024,22,ai_guided_search,PatternBoost,arXiv:2411.00566,yes,,yes,'... C(8) >= 22 ...'
6.60,C_6.60(8),up,1,2025,23,ai_evolution,AlphaEvolve,arXiv:2511.02864,yes,4.545455,yes,'... C(8) >= 23 ...'
6.60,C_6.60(9),up,0,2024,25,ai_guided_search,PatternBoost,arXiv:2411.00566,yes,,yes,'... C(9) >= 25 ...'
6.60,C_6.60(9),up,1,2025,26,ai_evolution,AlphaEvolve,arXiv:2511.02864,yes,4.0,yes,'... C(9) >= 26 ...'
6.60,C_6.60(10),up,0,2024,27,ai_guided_search,PatternBoost,arXiv:2411.00566,yes,,yes,'... and C(10) >= 27'
6.60,C_6.60(10),up,1,2025,28,ai_evolution,AlphaEvolve,arXiv:2511.02864,yes,3.703704,yes,'... and C(10) >= 28'
6.60,C_6.60(11),up,0,2025,31,ai_evolution,AlphaEvolve; no prior scalar record for n=11,arXiv:2511.02864,yes,,yes,'We also got the new lower bounds C(11) >= 31 and C(12) >= 33'
6.60,C_6.60(12),up,0,2025,33,ai_evolution,AlphaEvolve; no prior scalar record for n=12,arXiv:2511.02864,yes,,yes,'We also got the new lower bounds C(11) >= 31 and C(12) >= 33'
6.61,C_6.61_lower,up,0,1998,1.01,human_analytic,"Schrijver, Seymour and Winkler (101/100)",SIAM J. Discrete Math. 11(1) (1998) 1-14,yes,,yes,"paper: 'Schrijver, Seymour and Winkler proved that 101/100 <= C <= 3/2'"
6.61,C_6.61_lower,up,1,2014,1.1,human_search,"Skutella (11/10), computer-assisted",arXiv:1405.0789 (v1 2014-05-05); SIAM J. Discrete Math. 2016,yes,8.910891,yes,"paper: 'Skutella improved both bounds, to get 11/10 <= C <= 19/14'; Skutella calls the search a 'cumbersome undertaking for both the author and his computer'"
6.61,C_6.61_lower,up,2,2025,1.119,ai_evolution,"AlphaEvolve, m=15 construction",arXiv:2511.02864,yes,1.727273,yes,"'AlphaEvolve found a construction with m=15 numbers that achieves a score of at least 1.119, improving the previous known bound'"
6.61,C_6.61_upper,down,0,1998,1.5,human_analytic,"Schrijver, Seymour and Winkler (3/2)",SIAM J. Discrete Math. 11(1) (1998) 1-14,yes,,yes,"'a classical result of Schrijver, Seymour, and Winkler (1998)' (Skutella)"
6.61,C_6.61_upper,down,1,2014,1.357143,human_analytic,Skutella (19/14),arXiv:1405.0789,yes,10.526304,yes,Skutella abstract: 'increasing the load on any edge of the ring by no more than +(19/14)D'
6.61,C_6.61_upper,down,2,2019,1.3,human_analytic,"Daubel - not mentioned by the AlphaEvolve paper, whose stated 19/14 upper bound was already stale",arXiv:1904.02119,yes,4.395615,yes,'We contribute to this line of research by showing that L <= L* + 1.3D'; no AI step exists on this bound
6.64,C_6.64,up,0,2016,1.67735,human_analytic,"Joseph O'Rourke, MathOverflow question 246914",mathoverflow.net/q/246914,no,,yes,"question asked 2016-08-05: 'Volume: 4(8+pi^3)/(3pi^3) ~ 1.67735'; the volume figure was added in a 2017-04-13 edit, hence the uncertain date"
6.64,C_6.64,up,1,2022,1.76755,human_analytic,"RavenclawPrefect, MathOverflow answer, Hammersley sofa intersected with a cylinder",mathoverflow.net/a/432093,yes,5.37753,yes,"answer of 2022-10-09: '~ 1.76755 > 1.67735, so it is an improvement over the intersection with a 90-degree rotated copy'"
6.64,C_6.64,up,2,2025,1.81,ai_evolution,AlphaEvolve path-search construction,arXiv:2511.02864,yes,2.401629,yes,"'Its volume is at least 1.81 (rigorous lower bound), and we estimate it as 1.84'; 1.81 is the rigorous figure, used here"
6.1,,,0,,,no_sequence,family+asymptotic,,,,,"Kakeya/Nikodym set sizes in F_q^d, stated as inequalities in q and d rather than as a number."
6.10,,,0,,,no_sequence,asymptotic,,,,,"3D Kakeya volume, bounds asymptotic in n; lower bound Wang-Zahl 2025, upper bound described as forthcoming."
6.36,,,0,,,no_sequence,not_in_paper,,,,,"Circle packing in a square: the paper reports an improvement 'in the third decimal place' and puts full-precision values in the repository, so no sequence is transcribable here."
6.38,,,0,,,no_sequence,family,,,,,"Factoring N! into N factors: a table over 80 <= N <= 600, improved 'in several instances', with no single headline value."
6.40,,,0,,,no_sequence,no_improvement,,,,,"Erdos discrepancy: AlphaEvolve produced sequences shorter than the length-344 record, so there is no AI step to place."
6.9,,,0,,,no_sequence,asymptotic,,,,,"Kakeya needle areas bounded by 1/log n; record holders named (Cordoba 1977 lower, Keich 1999 upper) but no scalar value."
