list_id,list_name,list_year,problem_id,short_name,status,resolved_year,resolver,notes,source
green,Ben Green's 100 open problems,2018,39,Covering Z/pZ with 100 translates of a random set,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,40,Efficient subspace coverings by Hamming balls,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,41,Rotated pyjama sets covering the plane,open,,,Kravitz–Leng 2025 gave the first quantitative bounds,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,42,Cohn–Elkies scheme for optimal circle packing,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,43,Sieving by one residue class per large prime,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,44,Halving sieve: what size set survives,open,,,Resolved in the negative by Price and GPT-5.4 Pro as erdosproblems.com 1202 (wiki-dated 2026-04-01) after the December 2025 revision scored here; the row keeps the document's own status,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,45,Residue classes hitting every integer up to N,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,46,Covering an initial interval by classes mod primes up to N,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,47,Is a quadratic-size large-sieve residue set quadratic,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,48,Structure of maximal small-sieve survivors,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,49,Marton's conjecture (polynomial Freiman–Ruzsa over F2),resolved,2023,Gowers–Green–Manners–Tao,The integer analogue remains wide open,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,50,Polynomial Bogolyubov over finite fields,open,,,Kościuszko 2024 made progress on a related instance,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,51,Largest coset guaranteed inside 2A,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,52,Cosets in 2A for sets with small additive complements,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,53,Cosets in 2A_i over partitions of F2^n,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,54,Talagrand's convex-body question for 10K,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,55,Bilinear inverse question over Fp^n,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,56,Bounds for the inverse theorem for Gowers norms,open,,,Effective and quasipolynomial bounds arrived 2023–2025 for low-order cases,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,57,Convex combinations of triple convolutions,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,58,Does A+B contain a composite number (inverse Goldbach),open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,59,Every integer a sum of two smooth numbers,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,60,Sumset growth for sets of squares,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,61,If A+A contains the first n squares must A be large,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,62,Products of two primes covering residues mod p,open,,,Matomäki–Teräväinen 2023 made significant progress,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,63,Density of the multiplicative closure of {2;3},open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,64,Primes p with p−2 having an odd number of prime factors,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,65,Difference sets of dense sets containing a square,open,,,Green–Sawhney 2025 and Kowalska 2025 sharpened both directions,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,66,Sums of two squares in short intervals,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,67,Waring's problem over finite fields,resolved,2025,Sawin,Algebro-geometric asymptotic formula with s = O(k) summands,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,68,Arcs in F_p^2: must 2-point-per-line sets lie on cubics,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,69,Many collinear pairs force a rich cubic curve,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,70,k on a line or ℓ mutually visible points,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,71,Do many collinear 4-tuples force 5 points on a line,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,72,No-three-in-line in the grid [N]^2,open,,,Also posed as a FrontierMath open problem; see ../math-frontiermath-open/,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,73,Codimension-2 surfaces meeting a 2-plane in 5 points,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,74,Largest subset of [N]^d with no 5 points on a 2-plane,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,75,A halving line through two points of the set,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,76,Half the points hitting every rich axis-parallel rectangle,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,77,Smallest triangle among n points in a disc,open,,,Cohen–Pohoata–Zakharov improved the bound in 2023 and again in 2025,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,78,Measure growth µ(A·A) ≥ (4−ε)µ(A) in SO(3),resolved,2023,Jing–Tran–Zhang,Machado subsequently extended the result to all compact connected Lie groups,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,79,Random elements of A_n expand,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,80,Effective classification of approximate groups,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,81,Chowla's cosine problem,open,,,Bedert 2025 and Jin–Milojević–Tomon–Zhang 2025 independently reached polynomial savings; also posed as a FrontierMath open problem,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,82,How many zeros must a cosine sum have,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,83,Inverse Littlewood: structure of small L1 Fourier norm,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,84,Flat Littlewood polynomials exist,resolved,2019,Balister–Bollobás–Morris–Sahasrabudhe–Tiba,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,85,Carbery's rectangle problem,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,86,Dilates avoiding concentration in short intervals,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,87,Probability a random permutation preserves a k-set,open,,,Sawhney announced a solution with Green at Oberwolfach in November 2025 covering also the multiplication table problem; the headline is not yet marked solved,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,88,Comparable triples in [N]^3 (Gowers–Long),open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,89,Stable-density subspaces (arithmetic Conlon–Fox),open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,90,Almost affine-invariant sets in Z/pZ,open,,,Resolved by Ma–Tang–Xu in May 2026 (arXiv 2605.13454) after the December 2025 revision scored here; the row keeps the document's own status,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,91,Friendly bisections of random graphs,resolved,2021,Ferber–Kwan–Narayanan–Sah–Sawhney,Minzer–Sah–Sawhney 2023 comprehensively strengthened the result,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,92,Trace reconstruction problem,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,93,Random 0/1 polynomials almost surely irreducible,open,,,Bary-Soroker–Koukoulopoulos–Kozma 2023 settled coefficient ranges of 34 and above,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,94,Erdős similarity problem for the sequence 1; 1/2; 1/4 ...,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,95,Positive proportion of integers as sums of two palindromes,resolved,2024,Zakharov,Resolved in the negative: such integers have density zero,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,96,The dichotomy problem (Sidon versus analyticity),open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,97,Asymptotics of the n-queens problem,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,98,Effective bounds in Birch's theorem on odd-degree forms,open,,,Lampert–Snowden–Ziegler 2025 advanced the many-forms variant,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,99,Counting solutions with variables in a dense set,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,100,Is every group sofic or hyperlinear,open,,,The sofic half was resolved in the negative by OpenAI's Astra (announced 2026-08-01 with Lean certificates) after the December 2025 revision scored here; the hyperlinear half and the row's status are unchanged,Ben Green's 100 open problems (December 2025 revision)
