slug,title,field,task_type,notability,status,source_url
q2-absolute-galois,A Presentation of the Absolute Galois Group of \(\mathbb{Q}_2\),Number theory,Construction - Finite,Solid result,solved_ai,https://epoch.ai/frontiermath/open-problems/q2-absolute-galois
quadratic-field-class-number,Class Group Algorithms,Algebraic number theory,Construction - Family,Solid result,unsolved,https://epoch.ai/frontiermath/open-problems/quadratic-field-class-number
ramsey-66,"The Ramsey Number \(R(6,6)\)",Graph theory,Construction - Finite; Improved Bound,Moderately interesting,unsolved,https://epoch.ai/frontiermath/open-problems/ramsey-66
ramsey-book-graphs,Book Ramsey Numbers,Graph theory,Construction - Family,Moderately interesting,unsolved,https://epoch.ai/frontiermath/open-problems/ramsey-book-graphs
ramsey-hypergraphs,A Ramsey-style Problem on Hypergraphs,Combinatorics,,Moderately interesting,solved_ai,https://epoch.ai/frontiermath/open-problems/ramsey-hypergraphs
slice-ribbon,The Slice–Ribbon Conjecture and the GST Knot,Knot theory,Construction - Finite; Counterexample,Solid result,unsolved,https://epoch.ai/frontiermath/open-problems/slice-ribbon
small-diophantine,Large Integer Solutions to a Cubic Diophantine Equation,Diophantine,Integer Solution,Moderately interesting,unsolved,https://epoch.ai/frontiermath/open-problems/small-diophantine
smooth-poincare-4d,The Smooth Four-Dimensional Poincaré Conjecture,Topology/Geometry,Construction - Finite; Counterexample,Breakthrough,unsolved,https://epoch.ai/frontiermath/open-problems/smooth-poincare-4d
square-class-groups,A Prescribed Class-Group Structure for an Imaginary Quadratic Field,Algebraic number theory,Construction - Finite,Solid result,unsolved,https://epoch.ai/frontiermath/open-problems/square-class-groups
stretched-lr-coefficients,A Negative Coefficient in a Stretched Littlewood–Richardson Polynomial,Combinatorics,Construction - Finite; Counterexample,Solid result,unsolved,https://epoch.ai/frontiermath/open-problems/stretched-lr-coefficients
sum-of-three-cubes,Sum of Three Cubes,Diophantine,Integer Solution; Record Breaking,Moderately interesting,unsolved,https://epoch.ai/frontiermath/open-problems/sum-of-three-cubes
superpermutations,"Short Superpermutations over 8, 9, and 10",Combinatorics,Construction - Family; Improved Bound,Moderately interesting,solved_ai,https://epoch.ai/frontiermath/open-problems/superpermutations
symplectic-ball-packing,Symplectic Ball Packing,Topology/Geometry,Construction - Family,Major advance,unsolved,https://epoch.ai/frontiermath/open-problems/symplectic-ball-packing
thrackles,Conway's Thrackle Conjecture,Graph theory,Construction - Finite,Solid result,unsolved,https://epoch.ai/frontiermath/open-problems/thrackles
unknotting-number,Deciding Unknotting Number One,Low-dimensional topology,,Breakthrough,unsolved,https://epoch.ai/frontiermath/open-problems/unknotting-number
